#{"t_start": 0, "env_id": 0}
r,l,t
-999.777661,0.016666666666666666,0.059901
-855.758886,0.850000000000001,0.284957
-978.888939,0.08333333333333333,0.302759
-852.936957,1.6166666666666658,0.698336
-984.116372,0.06666666666666667,0.725037
-999.781003,0.016666666666666666,0.734975
-900.538887,0.3333333333333333,0.848219
-994.560255,0.03333333333333333,0.86369
-968.466701,0.11666666666666665,0.927495
-999.77973,0.016666666666666666,0.93762
-989.333937,0.05,0.958848
-984.115417,0.06666666666666667,0.98522
-994.554844,0.03333333333333333,1.000567
-984.136266,0.06666666666666667,1.027037
-999.780525,0.016666666666666666,1.036997
-973.678537,0.09999999999999999,1.074376
-989.339507,0.05,1.095078
-994.562483,0.03333333333333333,1.110379
-999.780525,0.016666666666666666,1.120316
-999.77973,0.016666666666666666,1.130168
-999.779411,0.016666666666666666,1.140118
-989.336165,0.05,1.161042
-937.192825,0.21666666666666665,1.238166
-994.560414,0.03333333333333333,1.261595
-858.842325,0.55,1.461624
-994.556276,0.03333333333333333,1.477022
-989.33903,0.05,1.497775
-994.555321,0.03333333333333333,1.512962
-973.668828,0.09999999999999999,1.550198
-999.777661,0.016666666666666666,1.560237
-984.106822,0.06666666666666667,1.586753
-994.559141,0.03333333333333333,1.602188
-999.780844,0.016666666666666666,1.612067
-968.43678,0.11666666666666665,1.654422
-999.781162,0.016666666666666666,1.664315
-978.900398,0.08333333333333333,1.696128
-999.778775,0.016666666666666666,1.706102
-999.77973,0.016666666666666666,1.715929
-999.77957,0.016666666666666666,1.725921
-989.347942,0.05,1.746839
-999.780366,0.016666666666666666,1.757233
-942.387153,0.19999999999999998,1.827649
-999.781162,0.016666666666666666,1.837606
-862.117692,0.6166666666666669,2.064971
-999.780844,0.016666666666666666,2.074833
-999.77957,0.016666666666666666,2.084614
-994.559459,0.03333333333333333,2.09974
-999.781162,0.016666666666666666,2.109502
-999.77973,0.016666666666666666,2.119223
-999.780684,0.016666666666666666,2.129185
-999.778775,0.016666666666666666,2.138944
-926.762788,0.24999999999999997,2.226685
-999.780207,0.016666666666666666,2.23651
-931.999293,0.2333333333333333,2.317291
-999.778775,0.016666666666666666,2.327148
-994.554844,0.03333333333333333,2.342418
-999.776706,0.016666666666666666,2.352331
-911.997412,0.3,2.480724
-999.779252,0.016666666666666666,2.494704
-999.781321,0.016666666666666666,2.504658
-963.256935,0.13333333333333333,2.552949
-947.621748,0.18333333333333332,2.618411
-989.338393,0.05,2.639396
-994.553411,0.03333333333333333,2.654793
-978.913927,0.08333333333333333,2.686597
-999.780207,0.016666666666666666,2.696549
-984.115576,0.06666666666666667,2.722752
-867.19167,0.5333333333333333,2.912971
-947.517979,0.18333333333333332,2.977146
-994.558345,0.03333333333333333,2.992754
-989.346828,0.05,3.017487
-994.555639,0.03333333333333333,3.032769
-994.560255,0.03333333333333333,3.048048
-999.778775,0.016666666666666666,3.057899
-999.777979,0.016666666666666666,3.067768
-877.092039,0.5333333333333333,3.268249
-870.103746,0.8000000000000008,3.582218
-994.554366,0.03333333333333333,3.597339
-989.336006,0.05,3.617771
-999.780844,0.016666666666666666,3.627498
-999.779889,0.016666666666666666,3.637218
-999.781003,0.016666666666666666,3.647031
-937.123593,0.21666666666666665,7.123886
-845.914292,0.6166666666666669,7.357493
-911.038156,0.3,7.46176
-994.559777,0.03333333333333333,7.47744
-952.825148,0.16666666666666666,7.538028
-853.501126,0.6500000000000004,7.775499
-999.77957,0.016666666666666666,7.785833
-989.332345,0.05,7.807121
-989.339507,0.05,7.828178
-973.689041,0.09999999999999999,7.866267
-994.5593,0.03333333333333333,7.881672
-952.796818,0.16666666666666666,7.942506
-999.779411,0.016666666666666666,7.952598
-848.626381,0.6500000000000004,8.192626
-999.779252,0.016666666666666666,8.20513
-958.02616,0.15,8.278993
-958.045418,0.15,8.34568
-999.78148,0.016666666666666666,8.366064
-999.779093,0.016666666666666666,8.385114
-999.779889,0.016666666666666666,8.405023
-994.556594,0.03333333333333333,8.436566
-999.777501,0.016666666666666666,8.456714
-999.776706,0.016666666666666666,8.477163
-978.907401,0.08333333333333333,8.533669
-931.966507,0.2333333333333333,8.693157
-978.897056,0.08333333333333333,8.750606
-989.33887,0.05,8.7723
-989.339666,0.05,8.796011
-999.778456,0.016666666666666666,8.806469
-917.309515,0.2833333333333333,8.966434
-989.330117,0.05,9.003106
-999.779411,0.016666666666666666,9.020416
-984.111915,0.06666666666666667,9.068193
-989.332027,0.05,9.105063
-994.561528,0.03333333333333333,9.132879
-989.331549,0.05,9.165164
-999.779411,0.016666666666666666,9.17547
-823.488653,2.549999999999996,10.099297
-958.079,0.15,10.153478
-706.403458,2.066666666666664,10.861419
-958.015815,0.15,10.918407
-873.413373,0.49999999999999994,11.082411
-999.780844,0.016666666666666666,11.092143
-874.669482,0.55,13.566412
-952.811779,0.16666666666666666,13.598755
-994.560732,0.03333333333333333,13.60705
-984.109687,0.06666666666666667,13.621336
-999.779252,0.016666666666666666,13.627024
-994.564393,0.03333333333333333,13.635995
-994.561051,0.03333333333333333,13.644879
-999.777024,0.016666666666666666,13.650554
-963.269986,0.13333333333333333,13.677403
-994.557231,0.03333333333333333,13.686123
-999.779093,0.016666666666666666,13.691645
-984.110483,0.06666666666666667,13.705932
-999.779889,0.016666666666666666,13.711362
-994.55548,0.03333333333333333,13.719862
-999.780048,0.016666666666666666,13.725545
-999.781639,0.016666666666666666,13.73114
-963.227651,0.13333333333333333,13.761171
-968.448876,0.11666666666666665,13.784682
-994.563279,0.03333333333333333,13.793143
-999.781162,0.016666666666666666,13.798688
-999.778934,0.016666666666666666,13.804142
-994.560573,0.03333333333333333,13.812779
-994.5593,0.03333333333333333,13.821144
-999.780844,0.016666666666666666,13.827004
-994.560892,0.03333333333333333,13.835534
-741.896562,1.6999999999999988,14.196288
-999.77973,0.016666666666666666,14.202459
-999.780207,0.016666666666666666,14.208631
-903.879956,0.3333333333333333,14.280164
-958.009608,0.15,14.312564
-994.556276,0.03333333333333333,14.32171
-931.95648,0.2333333333333333,14.377838
-999.777979,0.016666666666666666,14.383521
-989.335051,0.05,14.395334
-994.558504,0.03333333333333333,14.405944
-931.942793,0.2333333333333333,14.469448
-994.556753,0.03333333333333333,14.478343
