#{"t_start": 0, "env_id": 0}
r,l,t
5.192882,15.000000000000325,7.146585
4.355521,15.000000000000325,25.58923
5.273417,15.000000000000325,44.174156
5.506168,15.000000000000325,61.459449
5.499744,15.000000000000325,79.033608
4.06915,15.000000000000325,97.331692
5.187098,15.000000000000325,114.588261
4.834105,15.000000000000325,132.920702
4.749323,15.000000000000325,150.547493
4.968573,15.000000000000325,168.501217
5.276743,15.000000000000325,186.777804
4.944179,15.000000000000325,205.061968
5.48367,15.000000000000325,222.272337
-0.840406,15.000000000000325,242.370728
5.20481,15.000000000000325,259.711436
5.3223,15.000000000000325,277.403929
5.231477,15.000000000000325,295.458909
5.164394,15.000000000000325,313.558867
5.573665,15.000000000000325,331.605145
3.646215,15.000000000000325,349.295726
4.887368,15.000000000000325,367.890036
5.464356,15.000000000000325,385.813058
5.420259,15.000000000000325,404.628749
4.793218,15.000000000000325,423.106461
5.416581,15.000000000000325,440.564181
5.55879,15.000000000000325,458.285556
5.455082,15.000000000000325,475.395292
5.421465,15.000000000000325,494.685672
4.89492,15.000000000000325,512.765348
5.25384,15.000000000000325,530.977222
5.23421,15.000000000000325,548.511306
5.342527,15.000000000000325,565.28799
5.421718,15.000000000000325,581.969464
5.075402,15.000000000000325,600.232434
5.444353,15.000000000000325,617.165192
-2.063283,15.000000000000325,636.691817
5.179306,15.000000000000325,653.917668
5.468199,15.000000000000325,673.977147
5.425845,15.000000000000325,690.891156
5.354431,15.000000000000325,707.616981
4.631473,15.000000000000325,726.983623
4.57325,15.000000000000325,744.300344
5.362488,15.000000000000325,762.182553
5.489225,15.000000000000325,779.608451
4.405601,15.000000000000325,800.111663
3.148468,15.000000000000325,819.316212
5.194252,15.000000000000325,836.98585
5.502419,15.000000000000325,856.049932
5.526571,15.000000000000325,874.139726
4.612954,15.000000000000325,892.719896
0.646043,15.000000000000325,912.365602
5.387905,15.000000000000325,929.278187
3.482559,15.000000000000325,948.078665
5.15825,15.000000000000325,966.421155
4.567409,15.000000000000325,984.271787
2.138005,15.000000000000325,1003.252373
5.317793,15.000000000000325,1020.236752
5.329015,15.000000000000325,1039.389596
5.422138,15.000000000000325,1057.477818
5.435913,15.000000000000325,1076.182832
5.534401,15.000000000000325,1094.487678
5.29188,15.000000000000325,1113.191782
5.324714,15.000000000000325,1131.370186
5.337318,15.000000000000325,1149.283121
5.425741,15.000000000000325,1166.36117
4.754429,15.000000000000325,1184.647528
5.422742,15.000000000000325,1202.611295
4.129678,15.000000000000325,1221.172937
4.972135,15.000000000000325,1238.353256
4.169971,15.000000000000325,1256.32559
5.373436,15.000000000000325,1274.682271
4.663382,15.000000000000325,1292.673119
4.556323,15.000000000000325,1309.447449
5.305235,15.000000000000325,1327.998965
5.537671,15.000000000000325,1348.514278
4.899887,15.000000000000325,1367.485938
4.53278,15.000000000000325,1387.315462
5.515639,15.000000000000325,1406.648076
3.98059,15.000000000000325,1426.099872
5.312726,15.000000000000325,1445.28887
5.546841,15.000000000000325,1462.182463
4.891213,15.000000000000325,1479.307225
4.49728,15.000000000000325,1495.761342
5.40226,15.000000000000325,1514.284687
4.053019,15.000000000000325,1535.062885
5.183716,15.000000000000325,1552.986429
3.272109,15.000000000000325,1572.881976
4.001724,15.000000000000325,1595.284735
5.577759,15.000000000000325,1614.10077
4.891549,15.000000000000325,1633.485464
-0.95793,15.000000000000325,1651.907611
5.241989,15.000000000000325,1669.991845
5.648077,15.000000000000325,1688.166887
5.028656,15.000000000000325,1704.514744
-0.678469,15.000000000000325,1723.926142
5.068111,15.000000000000325,1742.871285
5.272832,15.000000000000325,1761.452332
5.503066,15.000000000000325,1780.658482
4.441361,15.000000000000325,1799.070032
4.663427,15.000000000000325,1817.559619
5.446677,15.000000000000325,1834.697219
5.154736,15.000000000000325,1851.999483
5.362378,15.000000000000325,1868.921
5.464207,15.000000000000325,1885.502784
-3.817258,15.000000000000325,1906.898335
5.448666,15.000000000000325,1923.587257
5.441813,15.000000000000325,1940.415751
5.425998,15.000000000000325,1957.195015
5.486926,15.000000000000325,1973.985446
-4.327382,15.000000000000325,1994.939721
4.380857,15.000000000000325,2012.85403
5.19281,15.000000000000325,2030.726916
4.415719,15.000000000000325,2048.714601
5.081322,15.000000000000325,2066.450046
4.00156,15.000000000000325,2084.781994
5.115387,15.000000000000325,2102.527648
5.183034,15.000000000000325,2120.819843
5.316271,15.000000000000325,2137.597838
5.375698,15.000000000000325,2154.684143
-0.397279,15.000000000000325,2173.709253
4.889671,15.000000000000325,2191.243143
4.942996,15.000000000000325,2208.421783
1.76766,15.000000000000325,2227.915689
4.517024,15.000000000000325,2245.075541
3.153166,15.000000000000325,2262.413384
