#{"t_start": 0, "env_id": 0}
r,l,t
-1240.2,2.633333333333329,2.804778
-1488.7,4.849999999999988,3.752392
-1561.5,5.533333333333319,4.014364
-1584.1,5.599999999999985,4.039573
-1682.3,6.449999999999982,4.370692
-1009.1,0.6666666666666671,4.643524
-1763.9,7.116666666666647,4.643658
-1776.1,7.24999999999998,4.721446
-1000,0.13333333333333333,4.722116
-1005.0,0.5166666666666666,4.975376
-1838.6,7.766666666666644,4.977009
-1473.0,5.2166666666666535,5.008272
-1013.2,0.733333333333334,5.054784
-1008.4,0.6333333333333336,5.247031
-1014.1,0.7666666666666674,5.338429
-1238.9,3.099999999999994,5.377929
-1226.1,3.049999999999994,5.951308
-1047.5,1.2333333333333338,6.476855
-1333.8,3.4999999999999925,6.510143
-1315.7,3.9333333333333242,6.622146
-1300.0,3.7499999999999916,6.836605
-1329.5,3.7833333333333248,6.931425
-1738.3,7.566666666666645,6.939808
-1234.1,2.8666666666666614,7.682998
-1521.2,5.649999999999985,7.6839
-1971.6,9.650000000000059,8.061376
-1022.9,0.9500000000000013,8.1114
-1003.6,0.41666666666666663,8.214876
-1331.7,3.7833333333333248,8.327652
-1316.5,3.8833333333333244,8.451733
-1398.7,4.049999999999991,8.503529
-1461.2,4.9166666666666545,8.562018
-1004.8,0.5333333333333333,8.645201
-1044.5,0.7833333333333341,8.84929
-1190.1,2.1833333333333305,8.880814
-1038.9,0.966666666666668,9.243582
-1000,0.11666666666666665,9.288914
-1717.7,7.333333333333313,9.414506
-1023.1,0.6833333333333338,9.575933
-1028.7,0.6000000000000002,9.679701
-1338.4,3.566666666666659,9.740382
-1476.7,5.366666666666653,9.822241
-1008.5,0.3833333333333333,89.85538
-1324.7,3.6666666666666585,89.86473
-1000.1,0.11666666666666665,89.934745
-1002.4,0.21666666666666665,89.971504
-1000.6,0.06666666666666667,90.024384
-1241.1,2.9499999999999944,90.075746
-1002.2,0.24999999999999997,90.095361
-1364.7,3.6999999999999917,90.113936
-1000,0.11666666666666665,90.121595
-1090.1,1.4,90.128981
-1002.3,0.2333333333333333,90.184752
-1002.4,0.16666666666666666,90.246417
-1004.3,0.41666666666666663,90.269772
-1000,0.13333333333333333,90.297691
-1014.8,0.44999999999999996,90.299255
-1001.5,0.2833333333333333,90.407926
-1007.7,0.6000000000000002,90.550908
-1000,0.09999999999999999,90.590449
-1052.7,1.1500000000000008,90.788658
-1004.4,0.5166666666666666,90.990374
-1001.4,0.31666666666666665,91.110673
-1223.5,2.7666666666666617,91.16197
-1764.0,7.799999999999978,91.246538
-1008.1,0.31666666666666665,91.349343
-1504.8,5.23333333333332,91.621916
-1098.8,1.6166666666666658,91.639653
-1012.2,0.6500000000000004,91.901572
-1609.5,6.416666666666649,92.219313
-1590.0,5.783333333333318,92.629708
-1001.0,0.11666666666666665,92.671561
-1000.5,0.05,92.690467
-1334.8,3.9166666666666576,93.162671
-1259.6,3.1499999999999937,93.368674
-1939.3,8.65000000000001,93.415178
-1007.0,0.41666666666666663,93.552691
-1000.5,0.05,93.569434
-1002.5,0.36666666666666664,93.687618
-1865.2,8.733333333333347,93.841614
-1282.1,3.299999999999993,93.855304
-1781.2,7.5499999999999785,93.939607
-1000.2,0.16666666666666666,93.991052
-1034.6,1.0666666666666678,94.229283
-1229.0,2.583333333333329,94.263614
-1026.7,0.8166666666666675,94.275909
-1055.0,1.2500000000000004,94.283057
-1001.3,0.26666666666666666,94.363749
-1015.5,0.44999999999999996,94.429002
-1026.3,0.7666666666666674,94.532294
-1020.1,0.55,94.719433
-1048.4,0.8666666666666677,94.737247
-1000.3,0.24999999999999997,94.822518
-1003.8,0.2833333333333333,94.854666
-1869.7,8.133333333333317,94.902914
-2018.8,10.116666666666749,95.05763
-1000,0.03333333333333333,95.069069
-1330.6,3.4499999999999926,95.620253
-1784.3,7.399999999999979,95.800992
-1311.5,3.433333333333326,96.160269
-1012.0,0.4666666666666666,96.331241
-1650.9,6.649999999999982,96.667851
-1885.0,8.416666666666664,96.776023
-1022.0,0.7500000000000007,97.066035
-1937.9,8.91666666666669,178.628101
-1544.3,5.166666666666654,178.750586
-1000.2,0.18333333333333332,178.849762
-1769.3,7.349999999999979,178.897935
-1467.4,4.7499999999999885,178.97581
-1689.1,7.0833333333333135,178.984829
-2124.4,10.366666666666761,179.454139
-1375.3,4.0666666666666575,180.202016
-1748.9,7.749999999999978,180.489094
-1001.6,0.36666666666666664,180.635172
-1464.6,5.18333333333332,180.835695
-1342.6,3.899999999999991,180.961263
-1149.0,2.0166666666666644,180.989491
-1007.2,0.41666666666666663,181.001375
-1555.7,5.566666666666652,181.126415
-1013.8,0.41666666666666663,181.133947
-1003.1,0.4666666666666666,181.194717
-1601.2,5.933333333333318,181.28102
-1008.4,0.31666666666666665,181.322784
-1049.3,1.1333333333333342,181.546947
-1932.5,8.966666666666692,182.31788
-2256.3,20.000000000000146,182.954373
-1118.3,1.5999999999999992,182.96355
-1621.4,6.366666666666649,183.476922
-1007.6,0.41666666666666663,183.693224
-1714.6,6.849999999999981,184.122068
-1642.2,6.466666666666649,184.283553
-1000.8,0.2333333333333333,184.40002
-1042.8,0.9333333333333346,184.589198
-2053.3,9.833333333333401,184.75203
-1974.8,9.066666666666697,185.062037
-2086.9,10.233333333333421,185.381183
-1145.5,1.9166666666666647,185.481309
-1000,0.3333333333333333,185.499155
-1003.3,0.44999999999999996,185.65462
-1687.7,6.516666666666649,185.747633
-1338.4,3.6333333333333253,185.80673
-1000.1,0.09999999999999999,288.72284
-1016.9,0.6833333333333338,288.937688
-1000,0.06666666666666667,288.970895
-1605.6,5.916666666666651,289.14305
-1401.6,4.183333333333324,289.63796
-1015.1,0.5833333333333335,289.871044
-1726.6,6.866666666666648,290.228112
-1647.7,6.366666666666649,290.891864
-1004.1,0.3333333333333333,291.010233
-1607.7,6.06666666666665,291.164615
-1555.4,5.699999999999985,291.213665
-1021.2,0.7000000000000005,291.527808
-1735.6,7.516666666666645,291.574435
-1560.7,5.399999999999986,292.471684
-1267.2,3.049999999999994,292.546404
-1937.9,9.05000000000003,292.903395
-1018.6,0.7166666666666672,293.24542
-1437.6,4.466666666666656,293.669624
-2009.8,9.283333333333374,293.919838
-1523.9,5.266666666666653,294.079747
-1005.9,0.3833333333333333,294.097196
-1027.0,0.6166666666666669,294.369718
-1018.9,0.733333333333334,294.437988
-1000.5,0.15,294.505787
-1736.2,20.000000000000146,294.523112
-1003.0,0.4333333333333333,294.693269
-1011.3,0.55,294.757787
-1487.9,4.799999999999988,294.829559
-1018.0,0.6666666666666671,294.985572
-1485.6,5.483333333333319,295.054399
-1000.7,0.16666666666666666,295.12346
-1000,0.15,295.182096
-1005.2,0.3833333333333333,295.33992
-1467.5,5.166666666666654,295.600014
-1031.8,1.016666666666668,295.774138
-1429.1,4.4499999999999895,296.217907
-1469.7,4.816666666666655,296.699466
-1843.7,8.099999999999982,297.034667
-1843.5,7.866666666666644,377.481278
-1639.1,6.183333333333317,377.577984
-1797.8,7.733333333333311,377.62787
-1001.4,0.13333333333333333,377.674836
-1608.5,6.083333333333317,377.768186
-1015.9,0.733333333333334,377.897547
-1003.4,0.31666666666666665,377.914858
-1018.8,0.7166666666666672,378.238079
-1449.5,4.683333333333322,378.245624
-1003.5,0.2833333333333333,378.351829
-1440.6,4.799999999999988,378.591527
-1104.7,1.5833333333333326,378.850273
-1255.0,2.9833333333333276,379.159124
-1713.1,20.000000000000146,379.226379
-1006.9,0.36666666666666664,379.327625
-1007.9,0.4333333333333333,379.486346
-1198.3,2.4333333333333296,379.814207
-1000.9,0.13333333333333333,379.864848
-1085.2,1.6166666666666658,380.091925
-1272.4,3.26666666666666,380.619767
-1729.7,7.499999999999979,380.883882
-1024.2,0.733333333333334,380.911462
-1000,0.016666666666666666,380.918719
-1012.3,0.4333333333333333,381.056828
-1886.0,8.633333333333342,381.344543
-1298.5,3.3333333333333264,381.383193
-1001.2,0.26666666666666666,381.471014
-1835.0,8.750000000000014,382.29602
-2008.9,9.500000000000052,382.309257
-1003.9,0.4333333333333333,382.502674
-1010.5,0.49999999999999994,382.515083
-1434.4,4.649999999999989,383.401978
-1690.6,7.516666666666645,383.447671
-1007.6,0.4833333333333333,383.625777
-1055.3,1.0500000000000012,383.909343
-1000,0.39999999999999997,384.106671
-1670.7,6.883333333333314,384.108204
-2240.6,20.000000000000146,384.280809
-1429.4,4.566666666666656,384.590883
-1861.5,8.78333333333335,384.794711
-1123.3,1.8833333333333315,464.906853
-1355.3,3.7166666666666583,465.030758
-1472.6,5.13333333333332,465.174505
-1024.6,0.9333333333333346,465.407244
-1000,0.26666666666666666,465.507767
-1002.3,0.49999999999999994,465.714009
-1983.4,9.950000000000074,466.249939
-1624.9,6.449999999999982,466.637109
-1422.4,4.4499999999999895,466.732324
-1000,0.15,466.79391
-1431.0,4.483333333333323,466.975995
-1024.3,0.7833333333333341,467.299382
-1398.6,4.083333333333324,467.365652
-2283.2,11.600000000000156,468.148217
-1349.0,4.166666666666657,468.209792
-1173.0,2.4333333333333296,468.275428
-1000.1,0.03333333333333333,468.314141
-1002.8,0.36666666666666664,468.480925
-1007.6,0.5666666666666668,468.709534
-1003.0,0.26666666666666666,468.861977
-2106.3,20.000000000000146,469.197859
-1787.0,8.349999999999994,469.573292
-1719.3,7.599999999999978,469.880186
-1741.5,7.533333333333312,470.382536
-1411.4,4.316666666666657,470.979424
-1001.3,0.18333333333333332,471.052221
-2256.9,20.000000000000146,471.733947
-1000,0.06666666666666667,471.758274
-1929.0,8.98333333333336,471.857718
-1004.6,0.3833333333333333,471.891728
-1247.3,2.8999999999999946,472.084737
-1679.0,6.566666666666649,472.386777
-1000.9,0.11666666666666665,472.432911
-2077.9,9.750000000000064,472.649033
-2157.0,11.516666666666818,552.478775
-1232.8,2.8499999999999948,552.764475
-1008.2,0.6166666666666669,552.824655
-1277.9,3.016666666666661,552.88298
-1000,0.05,552.983473
-1039.9,1.0500000000000012,553.004993
-1000.7,0.3,553.055981
-1007.3,0.44999999999999996,553.063469
-1003.6,0.3833333333333333,553.190679
-1729.5,7.866666666666644,553.289122
-1008.0,0.6333333333333336,553.418442
-1000,0.19999999999999998,553.498333
-2136.3,10.600000000000106,553.567581
-1098.8,1.5166666666666662,553.581933
-1001.5,0.16666666666666666,553.657645
-1002.6,0.24999999999999997,553.697545
-1127.5,1.9833333333333312,553.811369
-1001.8,0.21666666666666665,553.889038
-1153.5,1.8833333333333315,554.027523
-1058.8,1.0666666666666678,554.097636
-1001.5,0.24999999999999997,554.24057
-1005.2,0.5333333333333333,554.312976
-1607.5,6.183333333333317,554.83529
-1342.3,3.983333333333324,555.511358
-1644.9,6.3166666666666496,555.519726
-1827.2,8.900000000000022,555.564681
-1001.2,0.15,555.594756
-1014.5,0.7666666666666674,555.923459
-1632.1,6.6166666666666485,556.211519
-1275.5,2.883333333333328,556.736275
-1812.2,8.266666666666657,557.00492
-1823.7,7.599999999999978,557.259747
-1869.2,8.71666666666668,557.71982
-1381.7,4.266666666666657,557.856288
-1716.3,7.816666666666644,557.923448
-1003.0,0.3,557.972081
-1006.4,0.5333333333333333,558.171169
-1002.6,0.39999999999999997,558.307984
-1658.3,6.5333333333333155,558.422652
-1003.9,0.3333333333333333,558.447193
-1002.3,0.36666666666666664,558.598934
-1000,0.08333333333333333,558.645674
-1875.3,8.283333333333324,558.804715
-1013.7,0.55,558.890314
-1539.3,6.06666666666665,559.377183
-1584.0,5.33333333333332,559.392256
-1028.4,0.8166666666666675,559.72277
-1884.4,8.099999999999982,559.922749
-1389.1,4.133333333333324,560.471857
-1435.3,4.466666666666656,639.289993
-1654.1,6.366666666666649,639.695199
-1059.2,1.1333333333333342,639.811697
-1000.8,0.19999999999999998,639.882044
-1235.0,2.6999999999999953,640.249621
-1471.7,4.949999999999988,640.446414
-2051.7,10.133333333333416,640.593133
-1000,0.13333333333333333,640.642338
-1016.7,0.6500000000000004,640.746443
-1003.6,0.39999999999999997,641.001721
-1725.4,7.283333333333313,641.260391
-1629.1,6.21666666666665,641.348773
-1026.0,0.966666666666668,641.691823
-1001.6,0.4333333333333333,641.860657
-1215.2,2.749999999999995,641.861406
-1653.0,6.16666666666665,642.38478
-1000,0.016666666666666666,642.392076
-2436.1,14.03333333333361,642.440524
-1439.2,4.383333333333323,642.740657
-1340.0,3.4666666666666592,643.195453
-1569.8,5.533333333333319,643.340029
-1340.0,3.733333333333325,643.735137
-1869.1,9.400000000000047,644.02752
-1180.9,2.549999999999996,644.088526
-1619.0,6.183333333333317,644.154197
-1002.3,0.24999999999999997,644.186832
-1513.6,5.116666666666654,644.304446
-1559.2,5.716666666666652,644.795474
-1288.6,3.1666666666666603,644.892992
-1008.6,0.6833333333333338,645.037162
-1079.7,1.483333333333333,645.462399
-1004.0,0.35,645.590217
-1001.7,0.2833333333333333,645.693711
-1443.5,4.533333333333323,645.712885
-1630.5,6.26666666666665,646.688099
-1310.5,3.0833333333333273,646.893134
-2022.8,10.050000000000079,647.073689
-1768.7,7.766666666666644,647.080355
-1934.0,8.616666666666674,727.269456
-1540.4,6.21666666666665,727.287578
-1000.7,0.15,727.399589
-1000,0.18333333333333332,727.399775
-1156.2,1.9666666666666646,727.607166
-2216.5,20.000000000000146,727.706465
-1188.6,2.633333333333329,728.060489
-1000.8,0.13333333333333333,728.134238
-1159.5,2.549999999999996,728.463014
-1758.3,7.783333333333311,728.687873
-1337.1,3.566666666666659,729.012562
-1611.3,6.283333333333316,729.080801
-1006.1,0.3833333333333333,729.19362
-1000.4,0.16666666666666666,729.278399
-1365.6,3.866666666666658,729.858562
-1066.8,1.2000000000000006,729.90535
-1245.9,3.1499999999999937,729.9248
-1037.1,0.9333333333333346,730.272715
-1000.8,0.11666666666666665,730.393027
-1713.0,6.933333333333314,730.49109
-1257.6,3.099999999999994,730.582572
-1222.6,2.916666666666661,731.138057
-1341.5,3.7999999999999914,731.429954
-1004.0,0.35,731.56235
-2112.9,10.800000000000116,731.562904
-1000,0.11666666666666665,731.60878
-1216.0,2.833333333333328,731.691526
-1001.7,0.36666666666666664,731.704533
-1122.3,1.7833333333333319,731.81716
-1716.9,7.366666666666646,731.865219
-1027.4,0.733333333333334,731.947204
-1158.7,2.3499999999999965,732.536653
-1153.0,2.1833333333333305,732.569492
-2325.5,12.10000000000018,732.748123
-1738.8,6.799999999999981,733.082662
-1224.5,3.133333333333327,733.207909
-1000.2,0.06666666666666667,733.23298
-1350.0,4.033333333333324,733.411747
-1009.3,0.39999999999999997,733.557878
-1198.0,2.583333333333329,733.564855
-1063.3,1.3166666666666669,734.062258
-1002.1,0.24999999999999997,734.169305
-1503.3,5.949999999999984,734.204357
-1248.5,2.916666666666661,734.37584
-1002.2,0.3833333333333333,734.523005
-1074.4,1.2000000000000006,734.672489
-1007.3,0.4833333333333333,734.706316
-1466.6,5.28333333333332,734.802654
-1439.2,4.616666666666656,734.891965
-1000.1,0.06666666666666667,735.018265
-1655.4,6.849999999999981,735.417548
-1081.3,1.4166666666666665,814.572181
-1000,0.03333333333333333,814.64715
-1658.9,6.549999999999982,815.502925
-1069.1,1.266666666666667,815.962838
-1365.3,4.233333333333324,816.152202
-1001.6,0.19999999999999998,816.215389
